,MUA brain,MUA V1,MUA V4,MUA IT,average
clip-category,"0.36
(p=0.000)","0.33
(p=0.000)","0.43
(p=0.000)","0.39
(p=0.000)",0.38
clip-animal,"0.56
(p=0.000)","0.09
(p=0.134)","0.40
(p=0.000)","0.54
(p=0.000)",0.40
vgg-category,"0.47
(p=0.000)","0.35
(p=0.000)","0.56
(p=0.000)","0.47
(p=0.000)",0.46
vgg-animal,"0.30
(p=0.000)","0.13
(p=0.033)","0.28
(p=0.000)","0.25
(p=0.000)",0.24
average,0.42,0.22,0.42,0.41,0.37
