,MUA brain,MUA V1,MUA V4,MUA IT
clip-category,"0.39
(p=0.000)","0.20
(p=0.002)","0.51
(p=0.000)","0.44
(p=0.000)"
clip-animal,"0.42
(p=0.000)","0.15
(p=0.000)","0.35
(p=0.000)","0.41
(p=0.000)"
vgg-category,"0.35
(p=0.000)","0.32
(p=0.000)","0.44
(p=0.000)","0.38
(p=0.000)"
vgg-animal,"0.34
(p=0.000)","0.21
(p=0.000)","0.26
(p=0.000)","0.29
(p=0.000)"
