,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,-2.220446049250313e-16,1.7506759189773242,0.9276601059324396,0.30061867904790784,1.6332914909205947,0.1852352840853957,1.4599147413274716,0.8685544511463102,0.151837897741244,1.5337575832054144,0.17617115036304765,0.5250398878525452,1.5293330836385812,1.7465198402906617,0.21040127770651773,1.7627960200653625,0.44367688239971936,0.15964443105645587,0.5657639528159919,0.8902505528269877,0.15569811316034654,0.17168649453522267,0.3712560569087664
body part,1.7506759189773242,0.0,0.8526474114369329,1.5603126990814058,0.21765767077675702,1.58959452665149,0.3565461670201633,1.056627673209964,1.7211890114126362,0.31458342390065186,1.8816651867510799,1.6051492091922648,0.23235880674862197,0.08425697435272439,1.7247490529242104,0.06963428618486323,1.599276288872927,1.8868640927254186,1.3183020244740864,0.7261304775251451,1.7272001440201912,1.805123964565836,1.3557010053133414
clothing,0.9276601059324396,0.8526474114369329,1.1102230246251565e-16,0.784722614144363,0.7035596594025251,1.0619390070329142,1.0073419347945631,0.5878512498056738,1.1333066578390893,0.8102394610195198,0.8879907836839817,0.9079753009235514,0.7798826716703812,0.7943687561540288,0.7748621068990588,0.8298979390491472,0.807884422638228,1.0449328165577512,0.5600763344803856,0.736686115651968,0.9239012842284141,0.9612897907319051,0.8697336082280038
clothing accessory,0.30061867904790784,1.5603126990814058,0.784722614144363,0.0,1.2979982952180997,0.4279948302011203,1.2550417038391668,0.5381734940950988,0.4136741091587135,1.1910147189107616,0.4254315962615126,0.5875449172018838,1.1424818388627478,1.3885807785707454,0.21668461056084953,1.4222238008986712,0.3382302912946714,0.49265372323346557,0.3037562607362919,0.5898305574991616,0.22096175265031281,0.20196023948388464,0.28313807177751626
container,1.6332914909205947,0.21765767077675702,0.7035596594025251,1.2979982952180997,-2.220446049250313e-16,1.6066214082597279,0.46849178715787465,0.5887512790944491,1.72909103389418,0.12540331782725767,1.7248932740585976,1.1969740783857759,0.18668362602341537,0.13629481324991632,1.4748687074743658,0.13551469950184014,1.2021052130202081,1.7928637221437018,0.9434117386758178,0.5612776336486129,1.5616181236316802,1.4491543086166496,1.0628747128712734
dessert,0.1852352840853957,1.58959452665149,1.0619390070329142,0.4279948302011203,1.6066214082597279,2.220446049250313e-16,1.0643125181985675,0.9931333791831305,0.05278132709141914,1.499143447192834,0.295990710726837,0.6351460095560715,1.5231788079650008,1.7049235664401565,0.3439703176727553,1.6565011858365215,0.6189381325920408,0.24245543354615373,0.66860810629718,1.0228992709903744,0.19426788424753783,0.3747073493316343,0.5378063381039928
drink,1.4599147413274716,0.3565461670201633,1.0073419347945631,1.2550417038391668,0.46849178715787465,1.0643125181985675,-2.220446049250313e-16,1.001441258586629,1.1870375562208513,0.49849551802264036,1.5057742112964847,1.3230285758484694,0.5209827279763701,0.46045605116442156,1.3647898574064812,0.39975507928214327,1.3548681752353742,1.4854260171206746,1.049805898841504,0.8079368364710886,1.248612844397055,1.4663943174633935,1.1404898483954797
electronic device,0.8685544511463102,1.056627673209964,0.5878512498056738,0.5381734940950988,0.5887512790944491,0.9931333791831305,1.001441258586629,-2.220446049250313e-16,1.0959200396349529,0.4721963691770211,0.9289906851309346,0.44895409965688204,0.6796891029075268,0.8073483931199422,0.6119801927246722,0.8241818737836167,0.3208887012818469,1.1056477958719535,0.3363382735868361,0.5163862997810752,0.7856205932440118,0.5664983281073701,0.37039103658166117
food,0.151837897741244,1.7211890114126362,1.1333066578390893,0.4136741091587135,1.72909103389418,0.05278132709141914,1.1870375562208513,1.0959200396349529,1.1102230246251565e-16,1.6451998443842446,0.2186292524345973,0.6263519750712048,1.653499206044823,1.8131216216826544,0.2908138596076806,1.7912011350837942,0.6115639647732276,0.1409955276847995,0.704665613769301,1.0874974536054167,0.131131382654474,0.3127905305719212,0.576537676941711
furniture,1.5337575832054144,0.31458342390065186,0.8102394610195198,1.1910147189107616,0.12540331782725767,1.499143447192834,0.49849551802264036,0.4721963691770211,1.6451998443842446,-8.881784197001252e-16,1.6221923570133328,1.1090922039719961,0.19487813218541727,0.20472797429293121,1.330782725306165,0.18746197891601202,1.1061486540944099,1.7341323157749557,0.8893631230493564,0.47832488110139315,1.4679052569187363,1.309547462632238,0.8694979935682006
home decor,0.17617115036304765,1.8816651867510799,0.8879907836839817,0.4254315962615126,1.7248932740585976,0.295990710726837,1.5057742112964847,0.9289906851309346,0.2186292524345973,1.6221923570133328,0.0,0.43994896617376666,1.7232240406061288,1.8774004925129617,0.19917201165757392,1.87913121720351,0.4734292620480054,0.06329466259039529,0.5846561480357615,1.1666979143706881,0.22702722353421556,0.21791511330317215,0.5938843994448405
kitchen appliance,0.5250398878525452,1.6051492091922648,0.9079753009235514,0.5875449172018838,1.1969740783857759,0.6351460095560715,1.3230285758484694,0.44895409965688204,0.6263519750712048,1.1090922039719961,0.43994896617376666,-4.440892098500626e-16,1.389604806380439,1.4832811014555887,0.4598766718322689,1.4881978710167958,0.30059645166485494,0.5319274294223768,0.5537148365837778,1.0758608103696086,0.5288464071874746,0.36682280136149403,0.5656576495316171
kitchen tool,1.5293330836385812,0.23235880674862197,0.7798826716703812,1.1424818388627478,0.18668362602341537,1.5231788079650008,0.5209827279763701,0.6796891029075268,1.653499206044823,0.19487813218541727,1.7232240406061288,1.389604806380439,3.3306690738754696e-16,0.12089467586296154,1.3975262172616931,0.11456162350818289,1.2280522271113499,1.7790829783620796,0.9130917828242217,0.37285701363534685,1.4742049809195585,1.4240507861363438,0.939283316345018
medical equipment,1.7465198402906617,0.08425697435272439,0.7943687561540288,1.3885807785707454,0.13629481324991632,1.7049235664401565,0.46045605116442156,0.8073483931199422,1.8131216216826544,0.20472797429293121,1.8774004925129617,1.4832811014555887,0.12089467586296154,2.220446049250313e-16,1.6033132137682626,0.03221044224609515,1.3845903336948064,1.9270642567354506,1.1244716261514305,0.559797230941512,1.6812252784327537,1.6497692728009037,1.1882358737855467
musical instrument,0.21040127770651773,1.7247490529242104,0.7748621068990588,0.21668461056084953,1.4748687074743658,0.3439703176727553,1.3647898574064812,0.6119801927246722,0.2908138596076806,1.330782725306165,0.19917201165757392,0.4598766718322689,1.3975262172616931,1.6033132137682626,-2.220446049250313e-16,1.6485233341227312,0.3170547256901902,0.26554683642412247,0.35465983784051525,0.7162230202596829,0.14091025310451,0.11226523602414218,0.29718028304264055
office supply,1.7627960200653625,0.06963428618486323,0.8298979390491472,1.4222238008986712,0.13551469950184014,1.6565011858365215,0.39975507928214327,0.8241818737836167,1.7912011350837942,0.18746197891601202,1.87913121720351,1.4881978710167958,0.11456162350818289,0.03221044224609515,1.6485233341227312,5.551115123125783e-16,1.4273852054299692,1.9170391533391116,1.1394416440485036,0.6036431910794691,1.6958139906963248,1.682482179033634,1.2114098254582986
part of car,0.44367688239971936,1.599276288872927,0.807884422638228,0.3382302912946714,1.2021052130202081,0.6189381325920408,1.3548681752353742,0.3208887012818469,0.6115639647732276,1.1061486540944099,0.4734292620480054,0.30059645166485494,1.2280522271113499,1.3845903336948064,0.3170547256901902,1.4273852054299692,3.3306690738754696e-16,0.5847463273334925,0.31511950828042057,0.8086005436725918,0.39959843749735513,0.25836336101534474,0.3218977662601663
plant,0.15964443105645587,1.8868640927254186,1.0449328165577512,0.49265372323346557,1.7928637221437018,0.24245543354615373,1.4854260171206746,1.1056477958719535,0.1409955276847995,1.7341323157749557,0.06329466259039529,0.5319274294223768,1.7790829783620796,1.9270642567354506,0.26554683642412247,1.9170391533391116,0.5847463273334925,2.220446049250313e-16,0.7013561805228108,1.2203694370827232,0.23343004209213547,0.2605345608048405,0.6614505019261183
sports equipment,0.5657639528159919,1.3183020244740864,0.5600763344803856,0.3037562607362919,0.9434117386758178,0.66860810629718,1.049805898841504,0.3363382735868361,0.704665613769301,0.8893631230493564,0.5846561480357615,0.5537148365837778,0.9130917828242217,1.1244716261514305,0.35465983784051525,1.1394416440485036,0.31511950828042057,0.7013561805228108,0.0,0.4757992449355196,0.39195280274247024,0.3574107634562045,0.3234489816366787
tool,0.8902505528269877,0.7261304775251451,0.736686115651968,0.5898305574991616,0.5612776336486129,1.0228992709903744,0.8079368364710886,0.5163862997810752,1.0874974536054167,0.47832488110139315,1.1666979143706881,1.0758608103696086,0.37285701363534685,0.559797230941512,0.7162230202596829,0.6036431910794691,0.8086005436725918,1.2203694370827232,0.4757992449355196,0.0,0.8164141259099108,0.760591726123418,0.36612219623160247
toy,0.15569811316034654,1.7272001440201912,0.9239012842284141,0.22096175265031281,1.5616181236316802,0.19426788424753783,1.248612844397055,0.7856205932440118,0.131131382654474,1.4679052569187363,0.22702722353421556,0.5288464071874746,1.4742049809195585,1.6812252784327537,0.14091025310451,1.6958139906963248,0.39959843749735513,0.23343004209213547,0.39195280274247024,0.8164141259099108,0.0,0.15256133612388956,0.37924006440301694
vehicle,0.17168649453522267,1.805123964565836,0.9612897907319051,0.20196023948388464,1.4491543086166496,0.3747073493316343,1.4663943174633935,0.5664983281073701,0.3127905305719212,1.309547462632238,0.21791511330317215,0.36682280136149403,1.4240507861363438,1.6497692728009037,0.11226523602414218,1.682482179033634,0.25836336101534474,0.2605345608048405,0.3574107634562045,0.760591726123418,0.15256133612388956,-4.440892098500626e-16,0.2578193179830762
weapon,0.3712560569087664,1.3557010053133414,0.8697336082280038,0.28313807177751626,1.0628747128712734,0.5378063381039928,1.1404898483954797,0.37039103658166117,0.576537676941711,0.8694979935682006,0.5938843994448405,0.5656576495316171,0.939283316345018,1.1882358737855467,0.29718028304264055,1.2114098254582986,0.3218977662601663,0.6614505019261183,0.3234489816366787,0.36612219623160247,0.37924006440301694,0.2578193179830762,0.0
