,MUA brain,MUA V1,MUA V4,MUA IT
clip-category,"0.26
(p=0.000)","0.12
(p=0.052)","0.34
(p=0.000)","0.35
(p=0.000)"
clip-animal,"0.33
(p=0.000)","0.01
(p=0.636)","0.27
(p=0.000)","0.33
(p=0.000)"
vgg-category,"0.32
(p=0.000)","0.19
(p=0.003)","0.43
(p=0.000)","0.37
(p=0.000)"
vgg-animal,"0.25
(p=0.000)","0.10
(p=0.000)","0.23
(p=0.000)","0.18
(p=0.000)"
