,MUA brain,MUA V1,MUA V4,MUA IT,average
clip-category,"0.26
(p=0.000)","0.12
(p=0.052)","0.34
(p=0.000)","0.35
(p=0.000)",0.27
clip-animal,"0.46
(p=0.000)","-0.00
(p=0.988)","0.34
(p=0.000)","0.51
(p=0.000)",0.33
vgg-category,"0.32
(p=0.000)","0.19
(p=0.003)","0.43
(p=0.000)","0.37
(p=0.000)",0.33
vgg-animal,"0.15
(p=0.021)","0.10
(p=0.100)","0.11
(p=0.090)","0.08
(p=0.189)",0.11
average,0.30,0.10,0.31,0.33,0.26
