,MUA brain,MUA V1,MUA V4,MUA IT
clip-category,"0.36
(p=0.000)","0.33
(p=0.000)","0.43
(p=0.000)","0.39
(p=0.000)"
clip-animal,"0.40
(p=0.000)","0.08
(p=0.000)","0.29
(p=0.000)","0.39
(p=0.000)"
vgg-category,"0.47
(p=0.000)","0.35
(p=0.000)","0.56
(p=0.000)","0.47
(p=0.000)"
vgg-animal,"0.35
(p=0.000)","0.21
(p=0.000)","0.28
(p=0.000)","0.30
(p=0.000)"
