,MUA brain,MUA V1,MUA V4,MUA IT,average
clip-category,"0.39
(p=0.000)","0.20
(p=0.002)","0.51
(p=0.000)","0.44
(p=0.000)",0.38
clip-animal,"0.45
(p=0.000)","0.18
(p=0.005)","0.34
(p=0.000)","0.41
(p=0.000)",0.34
vgg-category,"0.35
(p=0.000)","0.32
(p=0.000)","0.44
(p=0.000)","0.38
(p=0.000)",0.37
vgg-animal,"0.23
(p=0.000)","0.34
(p=0.000)","0.16
(p=0.012)","0.07
(p=0.255)",0.20
average,0.36,0.26,0.36,0.32,0.33
