,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,2.220446049250313e-16,0.15328906748112736,0.08370429322493766,0.6043030461402408,1.637196091842766,0.3039024720657477,0.9302220812654352,1.7949136045991974,0.7333004286933572,1.8545979547276028,0.681665052023854,1.728171721990262,1.4825578919038822,1.3066599591472994,1.571658595726344,1.898143047603405,1.8329550073433398,1.5018886737759716,1.4945325075066194,1.7245345614787593,0.06934367191547697,1.6654279548723592,1.6024669795764215
body part,0.15328906748112736,4.440892098500626e-16,0.14797530413867221,0.692981735153583,1.5008333006959016,0.41826927691928106,0.822731937086068,1.710545604769965,0.841959100803042,1.837899205488888,1.0052649246747325,1.7763971785476258,1.3070421464121305,1.0772313559711901,1.5426450886651037,1.7258849427343876,1.707815984614168,1.7082352032018435,1.5727728882419845,1.6815597380050402,0.22747059731332508,1.8484555837379517,1.68715403932765
clothing,0.08370429322493766,0.14797530413867221,2.220446049250313e-16,0.5645656576756382,1.4909085657676129,0.36994970954710693,0.9207076826268344,1.68424035547945,0.8001037440820131,1.8004567528180782,0.6894308159151251,1.6983128706338202,1.3360520376848244,1.11905675991107,1.44271086204772,1.810266663488062,1.771357305050672,1.5617192091678072,1.4317424491025152,1.6419692435056552,0.09510810727878627,1.686234024231656,1.5984500220698998
clothing accessory,0.6043030461402408,0.692981735153583,0.5645656576756382,0.0,0.9273973827807436,0.5539530709688608,0.6872992635438304,1.0824344912257218,0.7033826888903072,1.1978138949736215,0.618468737916375,1.212962460002579,0.8182625838446934,0.9336689927944719,0.8607065779238208,1.1509603567189295,1.053466844583466,1.1353482834054633,0.7352766084762903,1.0039995174334475,0.4824783784172467,1.203158015176801,0.9920180583539281
container,1.637196091842766,1.5008333006959016,1.4909085657676129,0.9273973827807436,1.1102230246251565e-16,1.2458141463601948,0.734062156274818,0.17770171760821907,1.0061861542919568,0.31814014993938755,0.8897822452586223,0.3492128076442951,0.4426955317271465,0.5811510789163754,0.2783186415103752,0.28338922132486266,0.22226440438807704,0.5954192630297107,0.2964937032452021,0.3854238437808487,1.4822538742728555,0.48634892831152476,0.45262915661060865
dessert,0.3039024720657477,0.41826927691928106,0.36994970954710693,0.5539530709688608,1.2458141463601948,0.0,0.42121654823068955,1.461074913561869,0.18287654078137616,1.6260562852178153,0.49120992994516366,1.4613021171878309,1.4591346017532771,1.5125420809993797,1.3483278737682396,1.6856502078812574,1.4795413319975839,1.024037159433506,1.1284788688090799,1.5248372753888715,0.25199200842781955,1.4985687222827186,1.4618815141526393
drink,0.9302220812654352,0.822731937086068,0.9207076826268344,0.6872992635438304,0.734062156274818,0.42121654823068955,-2.220446049250313e-16,0.975659298067137,0.3545234695341496,1.1390701888764843,0.8033608925638221,1.067271111071938,1.0727407450633621,1.229183961827711,1.036608815821644,1.075342859152899,0.917083343384448,0.8592191096722561,0.8082481416324689,1.0750110126963717,0.7958547171062798,1.2994009770156005,1.1962498566812398
electronic device,1.7949136045991974,1.710545604769965,1.68424035547945,1.0824344912257218,0.17770171760821907,1.461074913561869,0.975659298067137,0.0,1.1764194940798105,0.2229749912036949,0.9449826461509608,0.18754024016986903,0.4741680296253147,0.5990098262389499,0.23207145841399945,0.1878118313842554,0.1229319157799903,0.5295679664839023,0.25845821805501656,0.33305508011690343,1.6310485521140363,0.25382069144632324,0.3535847872098664
food,0.7333004286933572,0.841959100803042,0.8001037440820131,0.7033826888903072,1.0061861542919568,0.18287654078137616,0.3545234695341496,1.1764194940798105,-2.220446049250313e-16,1.2278429716742079,0.520039346450266,1.1544176611561179,1.3394748612467542,1.560201717768337,1.1018710126814197,1.3418134733751457,1.1199092883026107,0.6010029512572619,0.8722340527543541,1.188380027375709,0.6303261941637928,1.1890683873402843,1.154965217845757
furniture,1.8545979547276028,1.837899205488888,1.8004567528180782,1.1978138949736215,0.31814014993938755,1.6260562852178153,1.1390701888764843,0.2229749912036949,1.2278429716742079,1.1102230246251565e-16,1.1008865566842898,0.26365114797142186,0.39785524682606943,0.5818719246024966,0.3122399535760667,0.11746882888663557,0.2025929857603438,0.46724362654690543,0.35888288547738245,0.14852969207336064,1.7769780173727938,0.24230060424772393,0.1729952585843889
