,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,5.24102778408502,2.0238209641737903,1.3231829019335708,2.8139976032606295,1.172917879005053,2.6389953287750063,1.9890001069501329,1.4424244007342109,2.8866362584862504,1.4133913854988733,1.9974183119494946,2.94975863308425,4.620173660393924,1.150623130596562,4.723735888381742,1.5733653912998031,2.812507846503229,1.668145243568184,1.9750713328054357,1.1258860076995731,1.4171961493410192,1.4424015116945463
body part,5.24102778408502,0.0,3.689915289671703,4.573014178698496,2.8378783017140647,5.1309302420225915,3.069954297362498,3.896900759194751,5.890325982234203,2.9159070592418246,6.000649607459782,5.197296161634716,2.721780779017718,1.523948913675222,5.028613552320071,1.3898518486519928,4.651484585129166,7.664230326470446,4.012000576952671,3.566289633783837,5.4247870292231015,5.907853778748562,4.208710674758807
clothing,2.0238209641737903,3.689915289671703,0.0,1.4508371556265114,1.3325202559710432,2.2559494991017845,1.554447111319505,1.0707050019610762,2.916763647283456,1.5709263057631022,2.5503732610820036,2.1698287813010304,1.6079849620466413,3.0236872651906976,1.709011529154308,3.1405373954761497,1.5083275819943807,4.334377626402198,0.9264513901877035,1.1439858335062623,2.2385633122257773,2.6432081944756343,1.3439710708162922
clothing accessory,1.3231829019335708,4.573014178698496,1.4508371556265114,0.0,2.064217334443679,1.6350155298069886,2.0014340770543466,1.2321778102630205,2.141013861224146,2.123233067001002,2.026054900478346,1.913261390673444,2.1425506389703113,3.7795743009917575,1.0230002279045978,3.897511811811948,1.1000234553327035,3.6945931768901867,0.9549390909369089,1.2564973017007492,1.3523064439084704,1.6533246064796563,0.9241466929664164
container,2.8139976032606295,2.8378783017140647,1.3325202559710432,2.064217334443679,0.0,2.9140922871970205,1.1924967624872957,1.242749424736585,3.640954527681485,0.69692338317339,3.4858540605338333,2.589497075543436,0.8828120184595931,2.088907270334637,2.494313046116274,2.170073498942154,2.0249675673477285,5.229664617712254,1.4236111068148238,1.183362704577519,2.9823764633044045,3.25780109917391,1.6965016235315837
dessert,1.172917879005053,5.1309302420225915,2.2559494991017845,1.6350155298069886,2.9140922871970205,0.0,2.3889215630019005,2.218032391441556,0.9836731501861172,2.9723096742124477,1.7720195646478998,2.2638555561228157,3.0614584406035092,4.683622165197149,1.5347781399779452,4.702170281909584,1.9293694466815299,2.977633190818714,1.872045143429942,2.204097282067413,1.2752231580590325,1.9947314697400502,1.7639039332292454
drink,2.6389953287750063,3.069954297362498,1.554447111319505,2.0014340770543466,1.1924967624872957,2.3889215630019005,0.0,1.5801541594805604,3.093590502199478,1.3374530642853297,3.2582348250115145,2.684915060816381,1.4177955473442865,2.62353889858957,2.373848530991157,2.6159461778248834,2.120101748608966,4.888430707486515,1.461186773250449,1.37524677303972,2.669674836866568,3.2474471841684758,1.7277278089896293
electronic device,1.9890001069501329,3.896900759194751,1.0707050019610762,1.2321778102630205,1.242749424736585,2.218032391441556,1.5801541594805604,0.0,2.9045773271196254,1.2465498978601446,2.6032723108557327,1.7018513751202502,1.5299351400468617,3.0425598559573683,1.5613757849215075,3.1415633665066798,1.0024868362314645,4.405941520886265,0.7607977746294778,0.984650223887521,2.122368486156508,2.2532760310902127,0.8976567058217676
food,1.4424244007342109,5.890325982234203,2.916763647283456,2.141013861224146,3.640954527681485,0.9836731501861172,3.093590502199478,2.9045773271196254,0.0,3.7209562142025727,1.692544287505982,2.6553351467671935,3.797078095185351,5.4278807392237916,1.8655299719257392,5.477777572389288,2.445248874893043,2.349100550919055,2.5107287120144566,2.8597201409813247,1.3143900594920523,2.0310120818638726,2.3809821211607187
furniture,2.8866362584862504,2.9159070592418246,1.5709263057631022,2.123233067001002,0.69692338317339,2.9723096742124477,1.3374530642853297,1.2465498978601446,3.7209562142025727,0.0,3.549302559521455,2.6164338301579804,0.9253292121437374,2.115811215296479,2.517379108603232,2.158883134455217,2.08142245456979,5.3283443489302,1.548264872453008,1.2381626128334609,3.045572533152472,3.2458237103983283,1.6768442131477417
